"許可證字號","中文品名","英文品名","有效日期","申請商名稱","發證日期","申請商電話","劑型","用途","簽審文件","製造廠國別","成分","申請商地址","包裝量及單位"
"衛部添製字  003432","焦糖色素","Caramel Colors (Sulfite ammonia caramel)","2030/10/29","振誠貿易股份有限公司","2025/10/29","02-23690989","粉劑","著色劑;;",,,"Caramel Colors;;",,"0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;10.00000公斤;0.10000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.00000公斤;5.00000公斤;10.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.50000公斤;5.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;21.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;17.50000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;20.00000公斤;25.00000公斤;50.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;6.00000公斤;9.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;18.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤"
"衛部添製字  003433","焦糖色素","Caramel Colors (Sulfite ammonia caramel)","2030/10/30","振誠貿易股份有限公司","2025/10/30","02-23690989","液劑","著色劑;;",,,"Caramel Colors;;",,"0.50000公斤;1.00000公斤;2.00000公斤;3.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;270.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;5.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.00000公斤;5.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;6.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;6.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;6.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤"
"衛部添製字  003434","焦糖色素","Caramel Colors (Plain caramel)","2030/10/28","振誠貿易股份有限公司","2025/10/28","02-23690989","液劑","著色劑;;",,,"Caramel Colors;;",,"0.50000公斤;1.00000公斤;2.00000公斤;3.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;270.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;5.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.00000公斤;5.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;6.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;6.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤"
"衛部添製字  003435","焦糖色素","Caramel Colors (Plain caramel)","2030/10/29","振誠貿易股份有限公司","2025/10/29","02-23690989","液劑","著色劑;;",,,"Caramel Colors;;",,"0.50000公斤;1.00000公斤;2.00000公斤;3.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;270.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;5.00000公斤;0.50000公斤;1.00000公斤;2.00000公斤;3.00000公斤;5.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;6.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤;5.00000公斤;6.00000公斤;10.00000公斤;12.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤;30.00000公斤"
"衛部添製字  003436","甘胺酸鎂","Magnesium Bisglycinate","2030/10/29","宸品股份有限公司","2025/10/29","02-27886279","粉劑","營養添加劑;;",,,"Magnesium Bisglycinate;;",,"1.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤"
"衛部添製字  003437","核黃素(維生素B2)","Riboflavin (Vitamin B2)","2030/10/23","新和食品股份有限公司","2025/10/23","02-25954321","結晶性粉末","營養添加劑;;著色劑;;",,,"Riboflavin (Vitamin B2);;",,"1.00000公斤;1.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤"
"衛部添製字  003438","麩醯胺酸","L-Glutamine","2030/11/05","昆昱國際有限公司","2025/11/05","05-2740936","結晶性粉末","營養添加劑;;",,,"L-Glutamine;;",,"150.00000公克;150.00000公克;500.00000公克;1000.00000公克"
"衛部添製字  003439","一氧化二氮","Nitrous oxide","2030/10/13","京和科技股份有限公司","2025/10/13","05-5513818","其他","品質改良用、釀造用及食品製造用劑;;",,,"Nitrous oxide;;",,"19500.00000公升"
"衛部添製字  003440","脂肪酸甘油酯","Glycerin Fatty Acid Ester (glyceryl monostearate)","2030/11/03","和司特股份有限公司","2025/11/03","04-23585228","粉劑","乳化劑;;",,,"Glycerin Fatty Acid Ester;;",,"0.10000公斤;0.50000公斤;1.00000公斤;5.00000公斤;10.00000公斤;0.10000公斤;0.50000公斤;1.00000公斤;5.00000公斤;10.00000公斤"
"衛部添製字  003441","食用黃色四號","Tartrazine (FOOD YELLOW NO.4)","2030/11/19","鑫隴興業有限公司","2025/11/19","07-7462908","粉劑","著色劑;;",,,"Tartrazine;;",,"2.00000公克;2.00000公克;5.00000公克;5.00000公克;10.00000公克;10.00000公克;30.00000公克;30.00000公克;30.00000公克;50.00000公克;50.00000公克;50.00000公克;100.00000公克;100.00000公克;100.00000公克;250.00000公克;250.00000公克;250.00000公克;500.00000公克;500.00000公克;500.00000公克;500.00000公斤;1.00000公斤;1.00000公斤;1.00000公斤;5.00000公斤;25.00000公斤;10.00000公克"
"衛部添製字  003442","食用紅色四十號","Allura Red AC (Food Red No.40)","2030/11/19","鑫隴興業有限公司","2025/11/19","07-7462908","粉劑","著色劑;;",,,"ALLURA RED AC;;",,"2.00000公克;2.00000公克;5.00000公克;5.00000公克;10.00000公克;10.00000公克;10.00000公克;30.00000公克;30.00000公克;30.00000公克;50.00000公克;50.00000公克;50.00000公克;100.00000公克;100.00000公克;100.00000公克;250.00000公克;250.00000公克;250.00000公克;500.00000公克;500.00000公克;500.00000公克;500.00000公克;1.00000公斤;1.00000公斤;5.00000公斤;25.00000公斤"
"衛部添製字  003443","食用紅色七號","Erythrosine (Food Red No.7)","2030/11/13","鑫隴興業有限公司","2025/11/13","07-7462908","粉劑","著色劑;;",,,"Erythrosine;;",,"2.00000公克;2.00000公克;5.00000公克;5.00000公克;10.00000公克;10.00000公克;10.00000公克;30.00000公克;30.00000公克;30.00000公克;50.00000公克;50.00000公克;50.00000公克;100.00000公克;100.00000公克;100.00000公克;250.00000公克;250.00000公克;250.00000公克;500.00000公克;500.00000公克;500.00000公克;500.00000公克;1.00000公斤;1.00000公斤;5.00000公斤;25.00000公斤"
"衛部添製字  003444","乙酸 dl-α-生育醇酯 50% CWS","all-rac-α-Tocopheryl Acetate Powder 50% CWS","2030/11/26","鎧盈股份有限公司","2025/11/26","02-28262022","粉劑","營養添加劑;;",,,"dl-α-Tocopheryl Acetate (Vitamin E);;Starch Sodium Octenyl Succinate;;Silicon Dioxide (silica gel);;",,"5.00000公斤"
"衛部添製字  003445","磷酸二澱粉","Distarch phosphate","2030/11/26","鑫隴興業有限公司","2025/11/26","07-7462908","粉劑","粘稠劑（糊料）;;",,,"Distarch Phosphate;;",,"50.00000公克;100.00000公克;150.00000公克;250.00000公克;500.00000公克;1.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  003446","胺基乙酸","Glycine","2030/11/25","鑫隴興業有限公司","2025/11/25","07-7462908","結晶性粉末","調味劑;;",,,"Glycine;;",,"50.00000公克;100.00000公克;150.00000公克;200.00000公克;250.00000公克;500.00000公克;1.00000公斤;50.00000公克;50.00000公克;500.00000公克;1.00000公斤;100.00000公克;150.00000公克;200.00000公克;250.00000公克;500.00000公克;1.00000公斤;100.00000公克;150.00000公克;200.00000公克;250.00000公克;500.00000公克;1.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  003447","麩醯胺酸","L-Glutamine (Ajinotamine)","2030/11/26","天義企業股份有限公司","2025/11/26","0227523235","結晶性粉末","營養添加劑;;",,,"L-Glutamine;;",,"5.00000公克;450.00000公克;450.00000公克;105.00000公克;210.00000公克"
"衛部添製字  003448","焦磷酸鈉(無水)","Sodium Pyrophosphate(Anhydrous)","2030/11/28","鑫隴興業有限公司","2025/11/28","07-7462908","粉劑","品質改良用、釀造用及食品製造用劑;;結著劑;;",,,"Sodium Pyrophosphate (Anhydrous);;",,"50.00000公克;50.00000公克;50.00000公克;100.00000公克;100.00000公克;100.00000公克;150.00000公克;150.00000公克;150.00000公克;200.00000公克;200.00000公克;200.00000公克;250.00000公克;250.00000公克;250.00000公克;500.00000公克;500.00000公克;500.00000公克;500.00000公克;1.00000公斤;1.00000公斤;1.00000公斤;1.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  003449","乳酸鈣","Calcium Lactate","2030/11/28","鑫隴興業有限公司","2025/11/28","07-7462908","粉劑","品質改良用、釀造用及食品製造用劑;;",,,"Calcium Lactate (Calcium Lactate, Pentahydrate);;",,"50.00000公克;100.00000公克;150.00000公克;200.00000公克;250.00000公克;500.00000公克;1.00000公斤;50.00000公克;100.00000公克;150.00000公克;200.00000公克;250.00000公克;500.00000公克;1.00000公斤;100.00000公克;150.00000公克;200.00000公克;250.00000公克;500.00000公克;1.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  003451","碳酸鈣","Calcium Carbonate","2030/12/08","鑫隴興業有限公司","2025/12/08","07-7462908","粉劑","品質改良用、釀造用及食品製造用劑;;",,,"Calcium Carbonate;;",,"50.00000公克;100.00000公克;150.00000公克;200.00000公克;250.00000公克;500.00000公克;1.00000公斤;50.00000公克;100.00000公克;150.00000公克;200.00000公克;250.00000公克;500.00000公克;1.00000公斤;100.00000公克;150.00000公克;200.00000公克;250.00000公克;500.00000公克;1.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  003452","L-抗壞血酸 (維生素C)","L-Ascorbic Acid(Vitamin C)","2030/12/11","新和食品股份有限公司","2025/12/11","02-25954321","結晶性粉末","抗氧化劑;;營養添加劑;;",,,"L-Ascorbic Acid (Vitamin C);;",,"0.50000公斤;1.00000公斤;5.00000公斤;10.00000公斤"
"衛部添製字  003453","D-山梨醇液70%","D-Sorbitol Solution 70%","2030/12/18","三億食品原料股份有限公司","2025/12/18","05-2652820","液劑","品質改良用、釀造用及食品製造用劑;;甜味劑;;",,,"D-Sorbitol Solution 70%;;",,"1.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;25.00000公斤;20.00000公斤;25.00000公斤"
"衛部添製字  003454","L-天門冬酸鈉","Monosodium L-Aspartate","2030/12/17","盛源食品原料股份有限公司","2025/12/17","02-23699828","結晶性粉末","調味劑;;",,,"Monosodium L-Aspartate;;",,"1.00000公斤;20.00000公斤;25.00000公斤"
"衛部添製字  003455","食用紅色六號","Ponceau 4R","2030/12/29","鑫隴興業有限公司","2025/12/29","07-7462908","粉劑","著色劑;;",,,"Ponceau 4R;;",,"2.00000公克;2.00000公克;5.00000公克;5.00000公克;10.00000公克;10.00000公克;10.00000公克;30.00000公克;30.00000公克;30.00000公克;50.00000公克;50.00000公克;50.00000公克;100.00000公克;100.00000公克;100.00000公克;250.00000公克;250.00000公克;250.00000公克;500.00000公克;500.00000公克;500.00000公克;500.00000公克;1.00000公斤;1.00000公斤;5.00000公斤;25.00000公斤"
"衛部添製字  003480","DL-胺基丙酸","DL–Alanine","2030/11/28","鑫隴興業有限公司","2025/11/28","07-7462908","結晶性粉末","調味劑;;",,,"DL-Alanine;;",,"50.00000公克;100.00000公克;150.00000公克;200.00000公克;250.00000公克;500.00000公克;1.00000公斤;50.00000公克;500.00000公克;1.00000公斤;50.00000公克;100.00000公克;150.00000公克;200.00000公克;250.00000公克;500.00000公克;1.00000公斤;100.00000公克;150.00000公克;200.00000公克;250.00000公克;500.00000公克;1.00000公斤;25.00000公斤;25.00000公斤"
"衛部添輸字  011421","鹿角菜膠","CARRAGEENAN (AQUAGEL GU-8931)","2030/09/30","昇凱興業有限公司","2015/09/30","03-4626949","粉劑","粘稠劑（糊料）;;","DHB0M011421006","PH","CARRAGEENAN;;",,"25.00000公斤;25.00000公斤"
"衛部添輸字  011424","鹿角菜膠","CARRAGEENAN (RICOVIS 8835)","2030/10/05","昇凱興業有限公司","2015/10/05","03-4626949","粉劑","粘稠劑（糊料）;;","DHB0M011424002","PH","CARRAGEENAN;;",,"25.00000公斤;25.00000公斤"
"衛部添輸字  011428","酸性焦磷酸鈉","DISODIUM DIHYDROGEN PYROPHOSPHATE (SODIUM ACID PYROPHOSPHATE (SAPP) FOOD GRADE)","2030/10/05","昆峰興業股份有限公司","2015/10/05","02-22236007","粉劑","品質改良用、釀造用及食品製造用劑;;","DHB0M011428001","CN","DISODIUM DIHYDROGEN PYROPHOSPHATE;;",,"25.00000公斤"
"衛部添輸字  011429","焦磷酸鉀","POTASSIUM PYROPHOSPHATE (TETRAPOTASSIUM PYROPHOSPHATE (TKPP) FOOD GRADE)","2030/10/05","昆峰興業股份有限公司","2015/10/05","02-22236007","粉劑","品質改良用、釀造用及食品製造用劑;;結著劑;;","DHB0M011429004","CN","POTASSIUM PYROPHOSPHATE;;",,"25.00000公斤"
"衛部添輸字  013216","羅漢果醣苷萃取物","Mogroside Extract (Monk Fruit Extract)","2030/09/08","萬岱豐食品股份有限公司","2020/09/08","03-3609251","粉劑","甜味劑;;","DHB0M013216006","CN","Mogroside Extract;;",,"1.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤"
"衛部添輸字  013246","L-麩酸鈉","Monosodium L-Glutamate","2030/09/23","億瓏貿易有限公司","2020/09/23","03-3659333","結晶","調味劑;;","DHB0M013246005","ID","Monosodium L-Glutamate;;",,"1000.00000公克;500.00000公克;250.00000公克;100.00000公克;50.00000公克"
"衛部添輸字  014821","茶胺酸","L-Theanine","2030/10/15","遠景股份有限公司","2025/10/15","02-27890303","結晶性粉末","調味劑;;","DHB0M014821005","KR","L-Theanine;;",,"500.00000公克;1.00000公斤;10.00000公斤"
"衛部添輸字  014827","異麥芽酮糖醇","Isomalt","2030/10/09","大江生醫股份有限公司","2025/10/09","02-87977811","結晶","品質改良用、釀造用及食品製造用劑;;甜味劑;;","DHB0M014827000","CN","Isomalt;;",,"20.00000公斤"
"衛部添輸字  014828","香保利 AS-5 粉劑","NatureSeal® AS-5","2030/10/13","振芳股份有限公司","2025/10/13","02-23415137","粉劑","抗氧化劑;;品質改良用、釀造用及食品製造用劑;;營養添加劑;;","DHB0M014828000","US","L-Ascorbic Acid (Vitamin C);;Calcium Carbonate;;",,"24.95000公斤"
"衛部添輸字  014829","香保利 GU-1 粉劑","NatureSeal® GU-1","2030/10/14","振芳股份有限公司","2025/10/14","02-23415137","粉劑","抗氧化劑;;品質改良用、釀造用及食品製造用劑;;營養添加劑;;","DHB0M014829003","US","L-Ascorbic Acid (Vitamin C);;Potassium Carbonate;;Calcium Chloride (Calcium Chloride,Anhydrous);;",,"24.95000公斤"
"衛部添輸字  014830","香保利 PS-10 粉劑","NatureSeal® PS-10","2030/10/14","振芳股份有限公司","2025/10/14","02-23415137","粉劑","抗氧化劑;;調味劑;;營養添加劑;;","DHB0M014830006","US","L-Ascorbic Acid (Vitamin C);;Sodium Chloride;;Citric Acid (Citric Acid,  Anhydrous);;",,"24.95000公斤"
"衛部添輸字  014832","氫氧化鎂","Magnesium Hydroxide","2030/10/23","志相蔘藥有限公司","2025/10/23","04-25602802","粉劑","營養添加劑;;","DHB0M014832002","CN","Magnesium Hydroxide;;",,"25.00000公斤"
"衛部添輸字  014833","佰世嘉 Beta‐胡蘿蔔素粉劑(1%)","Beta carotene powder(1%)","2030/10/08","佳淇實業有限公司","2025/10/08","053743375","粉劑","著色劑;;營養添加劑;;","DHB0M014833002","CN","Maltodextrin;;Starch Sodium Octenyl Succinate;;Sunflower Seed Oil;;Sodium Erythorbate;;β-Carotene;;Citric Acid;;dl-α-Tocopherol (Vitamin E);;",,"1.00000公斤;5.00000公斤;20.00000公斤"
"衛部添輸字  014834","菸鹼酸","Nicotinic Acid","2030/10/21","和司特股份有限公司","2025/10/21","04-23585228","結晶性粉末","營養添加劑;;","DHB0M014834005","CN","Nicotinic Acid;;",,"25.00000公斤"
"衛部添輸字  014835","木糖醇","Xylitol (Xylitol Powder)","2030/10/21","和司特股份有限公司","2025/10/21","04-23585228","結晶性粉末","品質改良用、釀造用及食品製造用劑;;甜味劑;;","DHB0M014835008","CN","Xylitol;;",,"20.00000公斤"
"衛部添輸字  014836","羥丙基磷酸二澱粉","Hydroxypropyl Distarch Phosphate(HYDROXYPROPYL DISTARCH PHOSPHATE(PE-20))","2030/10/21","卡羅國際企業股份有限公司","2025/10/21","02-7886996","粉劑","粘稠劑（糊料）;;","DHB0M014836001","TH","Hydroxypropyl distarch phosphate;;",,"25.00000公斤"
"衛部添輸字  014838","胺基乙酸","Glycine","2030/10/23","盛霖國際貿易股份有限公司","2025/10/23","02-23699828","結晶性粉末","調味劑;;","DHB0M014838004","CN","Glycine;;",,"25.00000公斤"
"衛部添輸字  014839","醋磺內酯鉀","Acesulfame Potassium","2030/10/21","裕元興業股份有限公司","2025/10/21","02-25062356","結晶性粉末","甜味劑;;","DHB0M014839007","CN","Acesulfame Potassium;;",,"1.00000公斤;25.00000公斤"
"衛部添輸字  014841","硝酸硫胺明（維生素B1，硝酸噻胺）","Thiamine Mononitrate（Vitamin B1）","2030/10/27","鎧盈股份有限公司","2025/10/27","02-28262022","粉劑","營養添加劑;;","DHB0M014841000","CN","Thiamine Mononitrate (Vitamin B1);;",,"25.00000公斤"
"衛部添輸字  014843","碳酸氫鉀","Potassium Bicarbonate","2030/10/15","和司特股份有限公司","2025/10/15","04-23585228","結晶","品質改良用、釀造用及食品製造用劑;;","DHB0M014843006","CN","Potassium Bicarbonate;;",,"25.00000公斤"
"衛部添輸字  014844","亞硒酸鈉","Sodium Selenite (Sodium Selenite Anhydrous)","2030/10/08","立騏生技股份有限公司","2025/10/08","05-5571076","結晶性粉末","營養添加劑;;","DHB0M014844009","IN","Sodium Selenite;;",,"1.00000公斤;5.00000公斤"
"衛部添輸字  014845","中性蛋白酶","Protease","2030/10/27","運鮮生物科技股份有限公司","2025/10/27","08-7937609","粉劑","酵素製劑;;","DHB0M014845002","CN","Protease;;Glucose;;",,"1.00000公斤;5.00000公斤;25.00000公斤;25.00000公斤"
"衛部添輸字  014846","混合濃縮生育醇(維生素E)","Tocopherols Concentrate，Mixed (d-Mixed Tocopherols Concentrate 95LU)","2030/10/28","鉑睿實業有限公司","2025/10/28","02-89923555","油狀物","抗氧化劑;;","DHB0M014846002","JP","Tocopherols Concentrate, Mixed (low-α type);;",,"30.00000公克;100.00000公克;250.00000公克;1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤"
